,Lieu,Lat,Lon
94,ἀπὸ Ἀφροδίτης,26.833145,31.416623
95,κώμης Ἀφροδίτης,26.833145,31.416623
96,κώμης Ἀφροδίτης,26.833145,31.416623
97,τ̣ῆ̣ς̣  Ἀντινοέων,27.8105625,30.8810025
98,κώμης Ἀ̣φροδίτης,26.833145,31.416623
99,ἀπὸ κώμης Ἀφροδ̣ίτης,26.833145,31.416623
100,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
101,κώμης Ἀφροδίτης,26.833145,31.416623
102,ἀπὸ τῆς Ἀντιν̣οέων π̣όλεως,27.8105625,30.8810025
103,Ἀνταίου,26.8992835,31.517443
104,πρὸ τῇ̣ Ἀνταίου,26.8992835,31.517443
105,Φαρανιτ ,28.717525,33.609633
106,Βαυ,26.0715495,32.3689775
107,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
108,κώ̣μης Ἀφροδίτης,26.833145,31.416623
109,ἐν τῇ Ἀντινοέων,27.8105625,30.8810025
110,Ἀ̣ν̣ταίου,26.8992835,31.517443
111,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
112,Ἀνταίου,26.8992835,31.517443
113,κώμης Ἀφροδίτης,26.833145,31.416623
114,Ἀνταίου,26.8992835,31.517443
115,κώμης Ἀφροδίτης,26.833145,31.416623
116,Ἀνταίου,26.8992835,31.517443
117,πόλεως Ἀνταίου,26.8992835,31.517443
118,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
119,κώμης Ἀφροδίτης,26.833145,31.416623
120,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
121,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
122,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
123,κώμης Φθλα,26.919206,31.40847
124,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
125,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
126,τῆς αὐτῆς κώμης Ἀ̣φροδίτης,26.833145,31.416623
127,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
128,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
129,κώμης Φθλα,26.919206,31.40847
130,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
131,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
132,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης?,26.833145,31.416623
133,ἀπὸ κώμης Ἀ̣φ̣ρ̣ο̣δ̣ί̣τ̣η̣ς,26.833145,31.416623
134,ἀπὸ κώμης Ἀφροδίτ̣ης,26.833145,31.416623
135,κώμης Ἀφρο̣δ̣ί̣της,26.833145,31.416623
136,κώμης Ἀφροδίτης,26.833145,31.416623
137,κώμης Ἀφροδίτης,26.833145,31.416623
138,κώμης Ἀφροδίτης,26.833145,31.416623
139,κώ̣μης Ἀφροδίτης,26.833145,31.416623
140,κώμης Ἀφροδίτη̣ς,26.833145,31.416623
141,ὁρμωμένου ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
142,κώμης Ἀφροδίτης,26.833145,31.416623
143,τῆς αὐτῆς κώμης Ἀ̣φροδίτης,26.833145,31.416623
144,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
145,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
146,κώμης Ἀφρο̣δίτης,26.833145,31.416623
147,Ἀνταίου,26.8992835,31.517443
148,κώμης Ἀφροδίτης,26.833145,31.416623
149,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
150,κώμης Ἀφροδίτης,26.833145,31.416623
151,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
152,Ạṇtaeopol ,26.8992835,31.517443
153,Afrodites,26.833145,31.416623
154,τῆς ἡμετέρας κώμης Ἀφροδίτης̣,26.833145,31.416623
155,κώμης Ἀφροδίτης,26.833145,31.416623
156,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
157,ταύτη̣ς̣ τῆς πόλε̣ως Ἀν̣τ̣α̣ί̣ου,26.8992835,31.517443
158,τῆς ἡμετέρας κώμης Ἀφροδίτης,26.833145,31.416623
159,Ἑρμοῦ πόλεως,27.7756214,30.8047827
160,ἀπὸ Ἀπόλλωνος,26.937588,31.326702
161,Aṇtaeop̣oleos,26.8992835,31.517443
162,Ἑρμοῦ πόλεως,27.7756214,30.8047827
163,ἀπὸ Ἀπόλλωνος,26.937588,31.326702
164,κώμης Ἀφροδίτης,26.833145,31.416623
165,Afrodites,26.833145,31.416623
166,εἰς τὴν ὑμετέραν κώμην Ἀφροδίτης,26.833145,31.416623
167,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
168,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
169,τῆς εἰρημένης κώμης Ἀφροδίτης,26.833145,31.416623
170,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
171,τῆς ἡμετέρας κώμης Ἀφροδίτης,26.833145,31.416623
172,κώμης Ἀφροδίτης,26.833145,31.416623
173,Antaepoleos,26.8992835,31.517443
174,ex Afrodites,26.833145,31.416623
175,Antaeop̣oleos,26.8992835,31.517443
176,κώμης Ἀφροδίτης,26.833145,31.416623
177,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
178,κώμης Ἀφροδίτης,26.833145,31.416623
179,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
180,Ἀνταίου,26.8992835,31.517443
181,κώμης Ἀφροδίτης,26.833145,31.416623
182,Ἀνταίου,26.8992835,31.517443
183,τ̣ῆς Ἀ̣νταιοπολιτῶν̣,26.8992835,31.517443
184,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
185,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
186,τῆς Ἀνται̣οπολιτῶν,26.8992835,31.517443
187,ἀπὸ κώμης Ἀφροδίτη̣ς,26.833145,31.416623
188,κώμης Φθλα,26.919206,31.40847
189,Ἀνταίου,26.8992835,31.517443
190,τῶν Φα̣ρανιτῶν,28.717525,33.609633
191,Βαυ,26.0715495,32.3689775
192,Ἀπόλλωνος,26.937588,31.326702
193,τῶν̣ Φαρανιτῶν,28.717525,33.609633
194,Ἀνταίου,26.8992835,31.517443
195,τῶν Φαρανιτῶν,28.717525,33.609633
196,Ἀνταίου,26.8992835,31.517443
197,ἀπὸ Ἀφροδίτης,26.833145,31.416623
198,Ἀφροδίτης,26.833145,31.416623
199,περὶ κώμην Ἀφροδίτη̣ς,26.833145,31.416623
200,κώμης Ἀφροδίτης,26.833145,31.416623
201,ὑπὲρ κώμης Ἀφροδίτης?,26.833145,31.416623
202,τῆς Τεντυριτῶν πόλεως,26.141775,32.6700972222
203,Τεντυριτῶν,26.141775,32.6700972222
204,τῆς Τηντεριτῶν πόλιος sic,26.141775,32.6700972222
205,τῆς αὐτῆς Τεντυριτῶν πόλεως,26.141775,32.6700972222
206,τῆς αὐ̣τῆς Τεντυριτῶν πόλεως,26.141775,32.6700972222
207,τῆς αὐτῆς Τεντυριτῶν πόλεως,26.141775,32.6700972222
208,τῆς αὐτῆς Τεντυριτο͂ν πόλεως,26.141775,32.6700972222
209,τῆς αὐτῆς Τεντυ̣ριτῶν πόλεως,26.141775,32.6700972222
210,τῆς αὐτῆς Τ̣ε̣ντυριτῶν πόλ̣ε̣ω̣ς̣,26.141775,32.6700972222
211,κώμης Ἀφροδίτης,26.833145,31.416623
212,ὁρμωμ̣ένου ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
213,ὁρμώμενοι ἀπὸ τῆς Ἀντινοέων,27.8105625,30.8810025
214,ἀπὸ Ἀντινόου,27.8105625,30.8810025
215,ἀπὸ Ἀ̣ντινόου,27.8105625,30.8810025
216,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
217,ἀπὸ κώμης Ἀφροδίτη̣ς,26.833145,31.416623
218,κώμης Φθλα,26.919206,31.40847
219,κώμης Ἀφροδίτης,26.833145,31.416623
220,Πανοπολίτου?,26.565878,31.746075
221,κώμη̣ς̣ Φθλα̣,26.919206,31.40847
222,κώμης Ἀφρο̣δ̣ί̣τ̣η̣ς,26.833145,31.416623
223,ὁρ̣μ̣ωμ̣ένου ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
224,κώμης Ἀφροδίτης,26.833145,31.416623
225,τῆς αὐτῆς κ̣ώμης̣ Ἀφροδίτης,26.833145,31.416623
226,ἀπὸ κώμης̣ Ἀ̣φ̣ρ̣οδίτ̣η̣ς̣,26.833145,31.416623
227,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
228,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
229,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
230,εἰς τὴν Ἀλεξανδρέων μεγαλόπολιν,31.1982456667,29.9079146667
231,ἀπὸ̣ κώμης Ἀφροδίτης,26.833145,31.416623
232,εἰς τὴν μεγαλόπολι̣ν̣ Ἀ̣λ̣εξάνδρειαν,31.1982456667,29.9079146667
233,τῆς Ἀνταιουπολιτῶν,26.8992835,31.517443
234,ἀπὸ κ̣ώμης Ἀφροδίτης,26.833145,31.416623
